id,R1-DP,R1-INT,R1-PRESORT,R1-SP,R2-DP,R2-INT,R2-PRESORT,R2-SP
CTRL1831_001 chr: strand= len= ccds=,48.0,0.0,24.0,0.0,37.0,0.0,2.0,0.0
CTRL1831_002 chr: strand= len= ccds=,4.0,0.0,13.0,0.0,5.0,2.0,3.0,0.0
CTRL1831_003 chr: strand= len= ccds=,66.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
CTRL1831_005 chr: strand= len= ccds=,0.0,0.0,0.0,0.0,57.0,0.0,16.0,0.0
CTRL1831_006 chr: strand= len= ccds=,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
CTRL1831_007 chr: strand= len= ccds=,0.0,27.0,10.0,0.0,0.0,0.0,5.0,2.0
CTRL1831_009 chr: strand= len= ccds=,2.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0
CTRL2575_000 chr: strand= len= ccds=,11.0,9.0,8.0,2.0,0.0,2.0,17.0,0.0
CTRL2575_001 chr: strand= len= ccds=,213.0,0.0,45.0,0.0,20.0,0.0,6.0,0.0
CTRL2575_002 chr: strand= len= ccds=,32.0,0.0,29.0,0.0,175.0,0.0,37.0,4.0
CTRL2575_005 chr: strand= len= ccds=,0.0,121.0,29.0,4.0,0.0,50.0,8.0,13.0
CTRL2575_006 chr: strand= len= ccds=,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0
CTRL2575_008 chr: strand= len= ccds=,0.0,0.0,12.0,8.0,22.0,0.0,23.0,15.0
CTRL2575_009 chr: strand= len= ccds=,24.0,63.0,8.0,5.0,28.0,0.0,5.0,0.0
CTRL398_000 chr: strand= len= ccds=,0.0,6.0,22.0,5.0,0.0,0.0,31.0,32.0
CTRL398_001 chr: strand= len= ccds=,78.0,0.0,26.0,0.0,76.0,0.0,9.0,0.0
CTRL398_002 chr: strand= len= ccds=,19.0,0.0,7.0,0.0,36.0,0.0,11.0,0.0
CTRL398_003 chr: strand= len= ccds=,7.0,0.0,5.0,0.0,9.0,8.0,0.0,0.0
CTRL398_004 chr: strand= len= ccds=,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CTRL398_005 chr: strand= len= ccds=,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CTRL398_006 chr: strand= len= ccds=,0.0,114.0,11.0,0.0,14.0,74.0,6.0,8.0
CTRL398_007 chr: strand= len= ccds=,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0
CTRL398_008 chr: strand= len= ccds=,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0
CTRL398_009 chr: strand= len= ccds=,30.0,0.0,10.0,1.0,28.0,8.0,2.0,1.0
"ENSE00000332835 chrX:48837777-48837946 strand=-1 len=51.57.62 ccds=CCDS35248.1,CCDS35249.1",59.0,18.0,40.0,0.0,70.0,0.0,3.0,0.0
"ENSE00000335651 chr10:50863373-50863542 strand=1 len=59.63.48 ccds=CCDS7233.1,CCDS44389.1,CCDS7233.1,CCDS7232.1,CCDS7233.1",0.0,12.0,10.0,9.0,9.0,0.0,2.0,48.0
"ENSE00000338771 chr15:41029796-41029965 strand=-1 len=30.99.41 ccds=CCDS10063.1,CCDS10063.1",10.0,326.0,5.0,23.0,12.0,115.0,41.0,7.0
"ENSE00000341695 chr19:40478012-40478181 strand=1 len=41.99.30 ccds=CCDS46076.1,CCDS12547.1",130.0,1.0,41.0,0.0,16.0,0.0,22.0,0.0
"ENSE00000343040 chr17:33325187-33325356 strand=1 len=51.78.41 ccds=CCDS11285.2,CCDS11284.2",3.0,0.0,0.0,8.0,77.0,0.0,0.0,0.0
"ENSE00000343729 chr17:3787125-3787294 strand=-1 len=53.54.63 ccds=CCDS11038.1,CCDS11039.1",14.0,0.0,7.0,0.0,168.0,0.0,94.0,0.0
ENSE00000346147 chr16:1397245-1397414 strand=1 len=54.72.44 ccds=CCDS10434.1,125.0,8.0,26.0,5.0,209.0,0.0,71.0,0.0
"ENSE00000347092 chr7:44571319-44571488 strand=-1 len=35.90.45 ccds=CCDS43575.1,CCDS5491.1",144.0,0.0,24.0,0.0,26.0,0.0,14.0,0.0
ENSE00000349542 chr19:17440524-17440693 strand=-1 len=42.75.53 ccds=CCDS32949.1,0.0,0.0,13.0,20.0,0.0,0.0,16.0,4.0
"ENSE00000360903 chr17:30693640-30693809 strand=1 len=44.93.33 ccds=CCDS11271.1,CCDS42294.1",79.0,12.0,8.0,0.0,29.0,12.0,17.0,0.0
"ENSE00000365685 chr19:19042098-19042267 strand=-1 len=36.87.47 ccds=CCDS46022.1,CCDS12391.1,CCDS46023.1,CCDS46023.1,CCDS12391.1,CCDS12391.1",12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
ENSE00000373145 chr14:94152873-94153042 strand=1 len=45.90.35 ccds=CCDS9911.2,0.0,8.0,23.0,121.0,0.0,0.0,8.0,19.0
ENSE00000377990 chr19:45769421-45769590 strand=1 len=62.57.51 ccds=CCDS12658.1,18.0,1.0,29.0,36.0,0.0,1.0,19.0,35.0
"ENSE00000379229 chrX:71895881-71896050 strand=-1 len=39.81.50 ccds=CCDS14421.1,CCDS48137.1",123.0,246.0,1056.0,2761.0,48.0,104.0,1111.0,1958.0
"ENSE00000379234 chrX:71873253-71873422 strand=-1 len=32.96.42 ccds=CCDS14421.1,CCDS48137.1",26.0,27.0,187.0,359.0,39.0,12.0,84.0,70.0
"ENSE00000385079 chrX:15497819-15497988 strand=-1 len=33.93.44 ccds=CCDS14167.1,CCDS14167.1",0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0
ENSE00000390707 chr17:42332540-42332709 strand=-1 len=35.90.45 ccds=CCDS11481.1,1247.0,19.0,255.0,23.0,678.0,5.0,163.0,3.0
ENSE00000390707_001 mut chr17:42332540-42332709 strand=-1 len=35.90.45,292.0,0.0,33.0,0.0,93.0,8.0,27.0,0.0
ENSE00000390707_002 mut chr17:42332540-42332709 strand=-1 len=35.90.45,310.0,8.0,126.0,0.0,279.0,5.0,82.0,3.0
ENSE00000390707_003 mut chr17:42332540-42332709 strand=-1 len=35.90.45,235.0,3.0,24.0,0.0,96.0,4.0,21.0,5.0
ENSE00000390707_004 mut chr17:42332540-42332709 strand=-1 len=35.90.45,572.0,0.0,145.0,38.0,561.0,7.0,82.0,0.0
ENSE00000390707_005 mut chr17:42332540-42332709 strand=-1 len=35.90.45,27.0,159.0,68.0,9.0,30.0,401.0,145.0,25.0
ENSE00000390707_006 mut chr17:42332540-42332709 strand=-1 len=35.90.45,6.0,2.0,69.0,114.0,0.0,15.0,39.0,47.0
ENSE00000390707_007 mut chr17:42332540-42332709 strand=-1 len=35.90.45,562.0,1.0,148.0,0.0,100.0,0.0,21.0,0.0
ENSE00000390707_008 mut chr17:42332540-42332709 strand=-1 len=35.90.45,719.0,1.0,157.0,0.0,108.0,0.0,50.0,0.0
ENSE00000390707_009 mut chr17:42332540-42332709 strand=-1 len=35.90.45,562.0,4.0,149.0,1.0,715.0,0.0,227.0,3.0
ENSE00000390707_010 mut chr17:42332540-42332709 strand=-1 len=35.90.45,220.0,0.0,89.0,3.0,235.0,1.0,79.0,0.0
ENSE00000390707_011 mut chr17:42332540-42332709 strand=-1 len=35.90.45,528.0,0.0,86.0,4.0,338.0,5.0,135.0,10.0
ENSE00000390707_012 mut chr17:42332540-42332709 strand=-1 len=35.90.45,195.0,0.0,50.0,0.0,146.0,0.0,49.0,0.0
ENSE00000390707_013 mut chr17:42332540-42332709 strand=-1 len=35.90.45,285.0,0.0,96.0,7.0,62.0,0.0,17.0,12.0
ENSE00000390707_014 mut chr17:42332540-42332709 strand=-1 len=35.90.45,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ENSE00000390707_015 mut chr17:42332540-42332709 strand=-1 len=35.90.45,296.0,0.0,44.0,0.0,77.0,3.0,16.0,0.0
ENSE00000390707_016 mut chr17:42332540-42332709 strand=-1 len=35.90.45,961.0,4.0,225.0,0.0,573.0,1.0,243.0,13.0
ENSE00000390707_017 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1185.0,4.0,226.0,0.0,775.0,6.0,316.0,13.0
ENSE00000390707_018 mut chr17:42332540-42332709 strand=-1 len=35.90.45,392.0,7.0,128.0,6.0,333.0,10.0,216.0,9.0
ENSE00000390707_019 mut chr17:42332540-42332709 strand=-1 len=35.90.45,573.0,0.0,136.0,0.0,274.0,0.0,94.0,36.0
ENSE00000390707_020 mut chr17:42332540-42332709 strand=-1 len=35.90.45,44.0,0.0,16.0,0.0,50.0,3.0,16.0,0.0
ENSE00000390707_021 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1087.0,9.0,252.0,0.0,331.0,0.0,120.0,17.0
ENSE00000390707_022 mut chr17:42332540-42332709 strand=-1 len=35.90.45,155.0,0.0,6.0,0.0,172.0,0.0,62.0,4.0
ENSE00000390707_023 mut chr17:42332540-42332709 strand=-1 len=35.90.45,47.0,0.0,9.0,0.0,49.0,0.0,58.0,0.0
ENSE00000390707_024 mut chr17:42332540-42332709 strand=-1 len=35.90.45,497.0,0.0,87.0,0.0,404.0,4.0,192.0,0.0
ENSE00000390707_025 mut chr17:42332540-42332709 strand=-1 len=35.90.45,163.0,0.0,81.0,0.0,192.0,0.0,138.0,0.0
ENSE00000390707_026 mut chr17:42332540-42332709 strand=-1 len=35.90.45,473.0,1.0,78.0,13.0,528.0,0.0,182.0,13.0
ENSE00000390707_027 mut chr17:42332540-42332709 strand=-1 len=35.90.45,215.0,0.0,37.0,3.0,143.0,0.0,56.0,0.0
ENSE00000390707_028 mut chr17:42332540-42332709 strand=-1 len=35.90.45,589.0,0.0,52.0,16.0,110.0,0.0,31.0,0.0
ENSE00000390707_029 mut chr17:42332540-42332709 strand=-1 len=35.90.45,583.0,0.0,108.0,0.0,427.0,0.0,230.0,26.0
ENSE00000390707_030 mut chr17:42332540-42332709 strand=-1 len=35.90.45,224.0,0.0,69.0,1.0,42.0,0.0,0.0,0.0
ENSE00000390707_031 mut chr17:42332540-42332709 strand=-1 len=35.90.45,985.0,11.0,127.0,1.0,751.0,0.0,184.0,4.0
ENSE00000390707_032 mut chr17:42332540-42332709 strand=-1 len=35.90.45,93.0,0.0,31.0,0.0,316.0,3.0,103.0,13.0
ENSE00000390707_033 mut chr17:42332540-42332709 strand=-1 len=35.90.45,386.0,13.0,117.0,0.0,454.0,3.0,125.0,0.0
ENSE00000390707_034 mut chr17:42332540-42332709 strand=-1 len=35.90.45,300.0,17.0,59.0,0.0,425.0,0.0,112.0,14.0
ENSE00000390707_035 mut chr17:42332540-42332709 strand=-1 len=35.90.45,622.0,0.0,122.0,0.0,97.0,0.0,67.0,6.0
