id,R1-DN,R1-DP,R1-INT,R1-PRESORT,R1-SP,R2-DN,R2-DP,R2-INT,R2-PRESORT,R2-SP
CTRL2575_000 chr: strand= len= ccds=,3763.0,132.0,0.0,1473.0,43.0,662.0,35.0,79.0,766.0,215.0
CTRL2575_001 chr: strand= len= ccds=,0.0,62.0,1.0,22.0,0.0,0.0,665.0,0.0,715.0,0.0
CTRL2575_002 chr: strand= len= ccds=,0.0,430.0,0.0,146.0,0.0,0.0,917.0,0.0,669.0,0.0
CTRL2575_003 chr: strand= len= ccds=,0.0,607.0,0.0,514.0,0.0,0.0,2250.0,0.0,2016.0,157.0
CTRL2575_004 chr: strand= len= ccds=,0.0,215.0,0.0,150.0,0.0,0.0,881.0,0.0,738.0,0.0
CTRL2575_005 chr: strand= len= ccds=,0.0,215.0,125.0,461.0,64.0,0.0,1149.0,21.0,1065.0,26.0
CTRL2575_006 chr: strand= len= ccds=,0.0,0.0,0.0,16.0,0.0,0.0,526.0,136.0,1114.0,193.0
CTRL2575_007 chr: strand= len= ccds=,221.0,6.0,0.0,56.0,58.0,585.0,60.0,0.0,376.0,46.0
CTRL2575_008 chr: strand= len= ccds=,1350.0,65.0,0.0,237.0,49.0,727.0,48.0,0.0,621.0,227.0
CTRL2575_009 chr: strand= len= ccds=,0.0,864.0,46.0,480.0,48.0,0.0,203.0,0.0,119.0,0.0
CTRL398_000 chr: strand= len= ccds=,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSE00000332766 chrX:48543889-48544058 strand=1 len=47.87.36 ccds=CCDS14303.1,0.0,53.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
"ENSE00000332835 chrX:48837777-48837946 strand=-1 len=51.57.62 ccds=CCDS35248.1,CCDS35249.1",0.0,124.0,1081.0,822.0,30.0,0.0,2.0,1975.0,307.0,532.0
"ENSE00000335651 chr10:50863373-50863542 strand=1 len=59.63.48 ccds=CCDS7233.1,CCDS44389.1,CCDS7233.1,CCDS7232.1,CCDS7233.1",0.0,87.0,32.0,295.0,235.0,0.0,0.0,0.0,6.0,6.0
"ENSE00000338771 chr15:41029796-41029965 strand=-1 len=30.99.41 ccds=CCDS10063.1,CCDS10063.1",0.0,8.0,57.0,22.0,17.0,0.0,1.0,221.0,60.0,18.0
"ENSE00000341695 chr19:40478012-40478181 strand=1 len=41.99.30 ccds=CCDS46076.1,CCDS12547.1",0.0,349.0,99.0,670.0,13.0,62.0,1704.0,674.0,1704.0,45.0
"ENSE00000343040 chr17:33325187-33325356 strand=1 len=51.78.41 ccds=CCDS11285.2,CCDS11284.2",0.0,1627.0,0.0,1086.0,0.0,0.0,295.0,0.0,115.0,3.0
"ENSE00000343729 chr17:3787125-3787294 strand=-1 len=53.54.63 ccds=CCDS11038.1,CCDS11039.1",0.0,1971.0,0.0,758.0,0.0,18.0,2205.0,25.0,1579.0,261.0
ENSE00000346147 chr16:1397245-1397414 strand=1 len=54.72.44 ccds=CCDS10434.1,0.0,408.0,98.0,443.0,44.0,0.0,642.0,27.0,907.0,0.0
"ENSE00000347092 chr7:44571319-44571488 strand=-1 len=35.90.45 ccds=CCDS43575.1,CCDS5491.1",0.0,0.0,0.0,15.0,0.0,0.0,136.0,0.0,169.0,0.0
ENSE00000349542 chr19:17440524-17440693 strand=-1 len=42.75.53 ccds=CCDS32949.1,9.0,41.0,102.0,853.0,1395.0,56.0,14.0,347.0,4564.0,18592.0
"ENSE00000360903 chr17:30693640-30693809 strand=1 len=44.93.33 ccds=CCDS11271.1,CCDS42294.1",0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
"ENSE00000365685 chr19:19042098-19042267 strand=-1 len=36.87.47 ccds=CCDS46022.1,CCDS12391.1,CCDS46023.1,CCDS46023.1,CCDS12391.1,CCDS12391.1",0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000373145 chr14:94152873-94153042 strand=1 len=45.90.35 ccds=CCDS9911.2,0.0,0.0,20.0,247.0,422.0,0.0,0.0,12.0,79.0,428.0
ENSE00000377990 chr19:45769421-45769590 strand=1 len=62.57.51 ccds=CCDS12658.1,0.0,24.0,151.0,499.0,1459.0,0.0,0.0,18.0,64.0,245.0
"ENSE00000379229 chrX:71895881-71896050 strand=-1 len=39.81.50 ccds=CCDS14421.1,CCDS48137.1",0.0,0.0,2.0,10.0,113.0,0.0,7.0,2.0,55.0,186.0
"ENSE00000379234 chrX:71873253-71873422 strand=-1 len=32.96.42 ccds=CCDS14421.1,CCDS48137.1",13.0,8.0,3.0,34.0,108.0,1.0,0.0,1.0,55.0,89.0
ENSE00000390707 chr17:42332540-42332709 strand=-1 len=35.90.45 ccds=CCDS11481.1,0.0,3279.0,3.0,2375.0,493.0,7.0,7078.0,156.0,6282.0,168.0
ENSE00000390707_001 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1586.0,0.0,995.0,0.0,0.0,5410.0,121.0,4226.0,0.0
ENSE00000390707_002 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,717.0,75.0,798.0,0.0,287.0,2480.0,0.0,1693.0,0.0
ENSE00000390707_003 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,293.0,0.0,415.0,0.0,0.0,2537.0,460.0,2248.0,0.0
ENSE00000390707_004 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1137.0,6.0,829.0,12.0,0.0,5497.0,0.0,3692.0,1.0
ENSE00000390707_005 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1363.0,84.0,750.0,0.0,0.0,2833.0,291.0,3377.0,372.0
ENSE00000390707_006 mut chr17:42332540-42332709 strand=-1 len=35.90.45,18.0,59.0,647.0,3479.0,6602.0,22.0,421.0,1268.0,4359.0,18692.0
ENSE00000390707_007 mut chr17:42332540-42332709 strand=-1 len=35.90.45,38.0,1644.0,79.0,1396.0,24.0,0.0,2863.0,0.0,1635.0,121.0
ENSE00000390707_008 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1196.0,128.0,1570.0,60.0,0.0,1285.0,21.0,1168.0,0.0
ENSE00000390707_009 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1919.0,196.0,944.0,0.0,0.0,3499.0,91.0,2661.0,279.0
ENSE00000390707_010 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,357.0,1.0,113.0,0.0,0.0,433.0,72.0,200.0,183.0
ENSE00000390707_011 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1.0,3008.0,2.0,1406.0,157.0,0.0,6790.0,80.0,4691.0,414.0
ENSE00000390707_012 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1253.0,0.0,935.0,8.0,9.0,2259.0,0.0,974.0,65.0
ENSE00000390707_013 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1989.0,0.0,898.0,20.0,0.0,643.0,64.0,611.0,214.0
ENSE00000390707_014 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,460.0,0.0,706.0,0.0,0.0,151.0,0.0,83.0,0.0
ENSE00000390707_015 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,2378.0,26.0,1583.0,212.0,0.0,1875.0,0.0,1082.0,0.0
ENSE00000390707_016 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,4760.0,2.0,2137.0,0.0,0.0,1000.0,0.0,100.0,0.0
ENSE00000390707_017 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,4399.0,77.0,3235.0,57.0,309.0,4999.0,41.0,592.0,77.0
ENSE00000390707_018 mut chr17:42332540-42332709 strand=-1 len=35.90.45,141.0,1411.0,4.0,1583.0,61.0,0.0,3985.0,0.0,3428.0,378.0
ENSE00000390707_019 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,823.0,0.0,544.0,0.0,0.0,2733.0,0.0,1924.0,0.0
ENSE00000390707_020 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1776.0,4.0,1500.0,0.0,0.0,1515.0,24.0,131.0,0.0
ENSE00000390707_021 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1512.0,0.0,1344.0,0.0,0.0,1520.0,0.0,156.0,0.0
ENSE00000390707_022 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1704.0,1.0,1023.0,0.0,0.0,2030.0,0.0,1035.0,0.0
ENSE00000390707_023 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1343.0,0.0,1145.0,0.0,0.0,465.0,0.0,629.0,0.0
ENSE00000390707_024 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1744.0,5.0,1038.0,61.0,0.0,4077.0,0.0,2238.0,116.0
ENSE00000390707_025 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,2136.0,56.0,1397.0,20.0,3.0,4920.0,30.0,3444.0,391.0
ENSE00000390707_026 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1317.0,0.0,782.0,0.0,23.0,3036.0,0.0,1871.0,0.0
ENSE00000390707_027 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1.0,2380.0,0.0,1444.0,0.0,0.0,3632.0,0.0,2626.0,0.0
ENSE00000390707_028 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1044.0,2.0,990.0,13.0,0.0,4896.0,275.0,4361.0,158.0
ENSE00000390707_029 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1869.0,2.0,1662.0,0.0,0.0,2554.0,0.0,2129.0,0.0
ENSE00000390707_030 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,349.0,1.0,351.0,42.0,0.0,509.0,0.0,522.0,0.0
ENSE00000390707_031 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,4124.0,0.0,3271.0,0.0,0.0,6727.0,13.0,4372.0,61.0
ENSE00000390707_032 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,850.0,0.0,666.0,0.0,0.0,3385.0,21.0,2049.0,0.0
ENSE00000390707_033 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1510.0,10.0,1456.0,16.0,0.0,1941.0,234.0,2635.0,89.0
ENSE00000390707_034 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1017.0,60.0,491.0,0.0,0.0,6351.0,34.0,5471.0,118.0
ENSE00000390707_035 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1210.0,1.0,1025.0,0.0,0.0,1552.0,32.0,1029.0,0.0
