id,DP1S1,DP1S2,DP2S1,DP2S2,INT1S1,INT1S2,INT2S1,INT2S2,R1-PS,R2-PS,SP1S1,SP1S2,SP2S1,SP2S2
ENSE00000332835_000 chrX:48837777-48837946 strand= - len=51.57.62,13.0,0.0,4.0,1.0,321.0,304.0,209.0,344.0,58.0,46.0,12.0,0.0,4.0,0.0
ENSE00000332835_BRK chrX:48837777-48837946 strand= - len=51.57.62,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_000 chr15:41029796-41029965 strand= - len=30.99.41,1.0,0.0,0.0,1.0,47.0,23.0,12.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0
ENSE00000338771_001 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_002 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,4.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000338771_003 chr15:41029796-41029965 strand= - len=30.99.41,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0
ENSE00000338771_004 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,16.0,11.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_005 chr15:41029796-41029965 strand= - len=30.99.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSE00000338771_006 chr15:41029796-41029965 strand= - len=30.99.41,1.0,0.0,0.0,0.0,17.0,17.0,31.0,42.0,6.0,3.0,3.0,0.0,0.0,0.0
ENSE00000338771_008 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSE00000338771_009 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,1.0,0.0,20.0,31.0,11.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_010 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000338771_011 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_014 chr15:41029796-41029965 strand= - len=30.99.41,7.0,9.0,33.0,43.0,44.0,14.0,24.0,53.0,3.0,9.0,0.0,0.0,0.0,0.0
ENSE00000338771_015 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_016 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
ENSE00000338771_017 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000338771_018 chr15:41029796-41029965 strand= - len=30.99.41,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000338771_021 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
ENSE00000338771_022 chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,6.0,0.0,43.0,21.0,81.0,52.0,2.0,17.0,0.0,0.0,0.0,0.0
ENSE00000338771_BRK chr15:41029796-41029965 strand= - len=30.99.41,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000349542_000 chr19:17440524-17440693 strand= - len=42.75.53,5.0,7.0,22.0,1.0,545.0,403.0,302.0,400.0,72.0,61.0,30.0,2.0,15.0,0.0
ENSE00000349542_001 chr19:17440524-17440693 strand= - len=42.75.53,2.0,0.0,0.0,0.0,79.0,64.0,25.0,37.0,10.0,2.0,4.0,0.0,0.0,0.0
ENSE00000349542_002 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0
ENSE00000349542_003 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,2.0,0.0,19.0,9.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
ENSE00000349542_004 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,22.0,6.0,23.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0
ENSE00000349542_005 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,10.0,2.0,4.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0
ENSE00000349542_006 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,25.0,17.0,45.0,7.0,22.0,8.0
ENSE00000349542_007 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,3.0,0.0,20.0,28.0,15.0,35.0,7.0,10.0,6.0,0.0,4.0,2.0
ENSE00000349542_008 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,57.0,92.0,37.0,64.0,4.0,7.0,7.0,0.0,2.0,0.0
ENSE00000349542_009 chr19:17440524-17440693 strand= - len=42.75.53,3.0,0.0,0.0,0.0,28.0,42.0,50.0,72.0,5.0,8.0,10.0,0.0,5.0,0.0
ENSE00000349542_010 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,24.0,4.0,3.0,1.0,14.0,1.0,9.0,0.0,2.0,0.0
ENSE00000349542_011 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,64.0,61.0,73.0,78.0,5.0,14.0,3.0,0.0,0.0,0.0
ENSE00000349542_012 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,1.0,13.0,9.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0
ENSE00000349542_013 chr19:17440524-17440693 strand= - len=42.75.53,1.0,0.0,0.0,0.0,154.0,152.0,154.0,223.0,27.0,17.0,3.0,0.0,1.0,0.0
